Name,ParentName,ID,parentID,children_1,children_2,children_3,length_mm,radius_mm
A,Root,1,0,2,3,,23.464,3.2482
B,A,2,1,,,,20.4369,0.8764
C,A,3,1,4,5,6,32.1732,2.9478
D,C,4,3,,,,11.5309,0.6494
E,C,5,3,7,8,,13.3801,2.3517
N,C,6,3,15,16,,34.1625,2.9348
F,E,7,5,,,,7.03849,0.721
G,E,8,5,9,10,,68.9411,2.3517
H,G,9,8,,,,27.5798,0.7624
I,G,10,8,11,12,,28.7928,2.0961
J,I,11,10,,,,23.4589,0.5811
K,I,12,10,13,14,,119.82,2.0961
L,K,13,12,,,,19.0812,0.4814
M,K,14,12,,,,164.344,1.1336
O,N,15,6,17,18,,54.1708,2.1
X,N,16,6,25,26,,35.5623,2.0329
P,O,17,15,,,,15.6091,0.7453
Q,O,18,15,19,20,,19.0295,1.9015
R,Q,19,18,,,,24.4533,0.4522
S,Q,20,18,21,22,,26.737,1.9015
T,S,21,20,,,,13.1098,0.5576
U,S,22,20,23,24,,44.85125,1.7774
V,U,23,22,,,,11.6637,0.6321
W,U,24,22,,,,145.77975,1.1768
Y,X,25,16,,,,27.9937,1.061
Z,X,26,16,27,28,,41.2314,1.9865
AA,Z,27,26,,,,10.5341,0.6305
BB,Z,28,26,29,30,,121.4083,1.9865
CC,BB,29,28,,,,5.13946,0.4791
DD,BB,30,28,31,32,,36.432,1.5492
EE,DD,31,30,,,,31.2903,0.78
FF,DD,32,30,,,,40.736,0.9666
